payment_id,order_id,payment_method,payment_date,amount
1,1,Card,2025-08-12,2033.9
2,2,Card,2025-11-12,6618.29
3,3,Card,2025-01-23,196.41
4,4,Card,2024-09-05,7768.85
5,5,Card,2025-05-11,933.44
6,6,Card,2024-10-03,4653.58
7,7,Cash,2025-09-25,2151.95
8,8,PayPal,2025-03-01,12432.9
9,9,Card,2026-03-12,2319.23
10,10,Card,2024-12-23,1071.66
11,11,Card,2025-09-08,6924.49
12,12,Card,2025-06-26,4715.97
13,13,Card,2025-03-07,5518.02
14,14,Card,2024-09-07,820.4
15,15,Card,2026-05-06,10452.92
16,16,Card,2025-07-29,3804.25
17,17,Card,2024-10-21,3687.0
18,18,Card,2026-02-25,9877.62
19,19,Cash,2025-01-14,2860.14
20,20,Card,2026-03-04,2353.1
21,21,PayPal,2026-04-04,370.91
22,22,Card,2026-05-30,7122.86
23,23,Card,2025-01-03,8317.71
24,24,Cash,2025-08-04,5583.68
25,25,PayPal,2025-05-16,106.15
26,26,PayPal,2025-08-30,15867.02
27,27,PayPal,2025-04-23,9853.85
28,28,Card,2026-02-18,3580.0
29,29,PayPal,2026-04-24,5664.22
30,30,Card,2026-02-24,2392.89
31,31,Card,2024-09-11,10057.4
32,32,Card,2025-01-13,1265.01
33,33,Card,2024-09-15,4105.08
34,34,Card,2025-07-05,1874.23
35,35,Cash,2025-06-19,304.53
36,36,Card,2026-06-21,2920.14
37,37,Card,2025-07-30,4905.65
38,38,PayPal,2024-09-26,8238.63
39,39,Cash,2025-06-14,1092.92
40,40,Card,2025-10-18,9828.61
41,41,Card,2026-05-03,4425.69
42,42,Card,2024-07-08,9569.76
43,43,Cash,2025-06-12,8463.31
44,44,Cash,2025-11-07,153.48
45,45,Card,2025-04-07,3608.83
46,46,Card,2025-08-20,3220.95
47,47,Card,2024-12-30,534.26
48,48,Card,2025-06-05,1609.2
49,49,Card,2026-03-05,384.54
50,50,PayPal,2025-02-07,9961.95
51,51,PayPal,2025-09-03,76.71
52,52,Card,2025-08-11,1817.84
53,53,Card,2025-11-30,11279.7
54,54,Card,2024-07-26,3250.01
55,55,Card,2026-04-20,5231.81
56,56,Card,2026-02-14,9733.59
57,57,Card,2025-08-30,23311.08
58,58,Cash,2024-11-29,4613.96
59,59,PayPal,2025-06-14,5473.82
60,60,Card,2026-03-14,11049.43
61,61,Card,2025-12-15,12861.0
62,62,PayPal,2025-10-06,2003.89
63,63,Card,2025-11-16,5599.67
64,64,PayPal,2024-09-25,12081.97
65,65,Card,2025-09-11,8051.72
66,66,Cash,2025-08-24,11110.43
67,67,Card,2025-11-15,2485.15
68,68,Card,2025-08-07,6905.09
69,69,PayPal,2025-11-08,3172.83
70,70,Card,2025-08-03,10517.35
71,71,Card,2025-06-25,6918.54
72,72,Card,2025-01-07,7208.33
73,73,Card,2024-10-25,236.15
74,74,Card,2025-01-24,827.66
